StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consumidor,Frequência,Lugar,Marcas,É consumidor,Como conheceu,Q44,Características,Falta na marca,Qualidades marcas,Classificação_1,Classificação_2,Classificação_3,Classificação_4,Classificação_5,Q42,Q34,Qualidade_NPS_GROUP,Qualidade,Diferencial,Pontos melhora,Q40,Q41,Lançamentos,Procura,Q30,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Frequencia uso,Preço,Utilização,ticket,idade,reg,sel
2024-06-21 12:46:20,2024-06-21 12:47:16,IP Address,194.113.177.113,100,55,True,2024-06-21 12:47:17,R_8QQMLw9UXbYJ2zq,,,,,41.3954,2.0997,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hczrhuirzh1nstd5_0adc1c5cbd5af884_490f86279013663b_cc65ae38294168a91fe24f5fc51f0d51,,,
2024-06-21 12:51:55,2024-06-21 12:52:00,IP Address,190.114.35.230,100,5,True,2024-06-21 12:52:00,R_80NiRBcPMNzaYdv,,,,,-33.4521,-70.6536,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testmigue,,,
2024-06-24 11:31:13,2024-06-24 11:31:19,IP Address,190.114.35.230,100,6,True,2024-06-24 11:31:19,R_8loPGlDHqKXMBm5,,,,,-33.4521,-70.6536,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h2owaf0ln4hpw2eh_0adc1c5cbd5af884_490f86279013663b_982bfcb40c77622f8472edecc025f372,,,
2024-06-24 12:03:46,2024-06-24 12:04:45,IP Address,190.114.35.230,100,59,True,2024-06-24 12:04:46,R_8CE50ws4MDqORDg,,,,,-33.4521,-70.6536,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testmigue,,,
2024-06-24 12:36:37,2024-06-24 12:38:05,IP Address,190.114.35.230,100,88,True,2024-06-24 12:38:06,R_2cvAFRmb0F0XszZ,,,,,-33.4521,-70.6536,anonymous,EN,Não,A cada 6 meses,Online,Tatiana Loureiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z7wn5nh54vqqbzts_0adc1c5cbd5af884_490f86279013663b_336cda8b39e502d4ba025a8f919d2046,31,4,1
2024-06-24 12:39:05,2024-06-24 12:39:27,IP Address,190.114.35.230,100,22,True,2024-06-24 12:39:28,R_85R424NrfhXzxyL,,,,,-33.4521,-70.6536,anonymous,EN,Sim,Uma  vez por ano,Online,Arezzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,haqj8duvjrzci7aj_0adc1c5cbd5af884_490f86279013663b_138bc0ec492bab753160746afc256f4b,61,4,1
2024-06-24 12:40:48,2024-06-24 12:41:11,IP Address,190.114.35.230,100,22,True,2024-06-24 12:41:11,R_2pxPNmEg44OPPat,,,,,-33.4521,-70.6536,anonymous,EN,Sim,A cada 6 meses,Loja Física,Tatiana Loureiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uxypekcqfnpb5nia_0adc1c5cbd5af884_490f86279013663b_12d21e5df301fd89bbf37acb74be4727,21,4,1
2024-06-24 12:42:59,2024-06-24 12:43:45,IP Address,190.114.35.230,100,45,True,2024-06-24 12:43:45,R_2liYfYfZnHPSoiM,,,,,-33.4521,-70.6536,anonymous,EN,Sim,A cada 6 meses,Online,Arezzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pekf3ya6xu51fq47_0adc1c5cbd5af884_490f86279013663b_ad8f47edba3110500e30835d9add5900,51,2,1
2024-06-24 12:48:40,2024-06-24 12:48:56,IP Address,190.114.35.230,100,16,True,2024-06-24 12:48:56,R_2yYfxZuyEVHctAR,,,,,-33.4521,-70.6536,anonymous,EN,Sim,A cada 6 meses,Loja Física,Tatiana Loureiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u5y3byo6qrd8xm15_0adc1c5cbd5af884_490f86279013663b_68c27b8c1fd02445c54f7970cc64c6ae,51,2,1
2024-06-24 13:09:16,2024-06-24 13:10:10,IP Address,177.26.74.0,100,53,True,2024-06-24 13:10:11,R_3ijNk6HW4k5edBK,,,,,-22.9201,-43.0811,anonymous,EN,Sim,A cada 6 meses,Ambos na mesma proporção,Arezzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d447441-cf2c-42f4-b7d2-592955c18cba_0adc1c5cbd5af884,56,3,5
2024-06-24 13:19:45,2024-06-24 13:20:23,IP Address,179.221.200.215,100,37,True,2024-06-24 13:20:23,R_3vmQoLdZCAJn53H,,,,,-26.9873,-48.6276,anonymous,EN,Sim," A cada dois anos",Loja Física,"Arezzo,Schutz,Luiza Barcellos,Alexandre Birman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0fb6885-96a8-4eb0-90ef-7dd0865fd3f2_0adc1c5cbd5af884,32,4,1
2024-06-24 13:27:20,2024-06-24 13:28:01,IP Address,187.183.59.182,100,40,True,2024-06-24 13:28:01,R_1IJEGaI9qlLCh8Z,,,,,-22.361,-47.384,anonymous,EN,Sim,Uma  vez por ano,Loja Física,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1ac7e94-0c71-4e79-9f60-236f11a26a16_0adc1c5cbd5af884,65,3,3
2024-06-24 13:27:43,2024-06-24 13:28:27,IP Address,179.113.17.121,100,44,True,2024-06-24 13:28:27,R_1pYbfDHou4SbnVa,,,,,-23.5335,-46.6359,anonymous,EN,Sim,Uma  vez por ano,Ambos na mesma proporção,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23922b437b040688_0adc1c5cbd5af884_6df2fd8cd715883f_f81ffd08e3d247bfefcc95c93ab74e29,31,3,3
2024-06-24 13:27:58,2024-06-24 13:28:34,IP Address,179.209.46.64,100,35,True,2024-06-24 13:28:35,R_3NwzlGUdCzisx2q,,,,,-23.5335,-46.6359,anonymous,EN,Sim,A cada 6 meses,Online,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302aca4d-9ae2-466d-b218-2d1116e538ff_0adc1c5cbd5af884,41,3,1
2024-06-24 13:27:20,2024-06-24 13:30:44,IP Address,45.184.69.248,100,203,True,2024-06-24 13:30:45,R_6f1JFOPB106Wnzm,,,,,-15.7783,-47.9319,anonymous,EN,Sim,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Não,Redes sociais,Rede Sociais,"Elegante,Moderna,Versátil","Mais opções de estilo e design,Melhor relação custo-benefício,Não tem uma loja física perto","Promoções/descontos,Avaliações e opiniões positivas de outros clientes,Informações sobre a qualidade do e o conforto do sapato",4,5,1,2,3,"Procura pelo produto específico na internet,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",,,,,,,,,,,,,,,,,,,82eee7c5-5a83-4573-b97e-f354a53920d6_0adc1c5cbd5af884,40,5,3
2024-06-24 13:31:47,2024-06-24 13:31:58,IP Address,179.113.17.121,100,10,True,2024-06-24 13:31:58,R_7uPcBE9v5c9oE4g,,,,,-23.5335,-46.6359,anonymous,EN,Sim,Uma  vez por ano,Ambos na mesma proporção,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23922b437b040688_0adc1c5cbd5af884_6df2fd8cd715883f_f81ffd08e3d247bfefcc95c93ab74e29,31,3,3
2024-06-24 13:33:02,2024-06-24 13:33:55,IP Address,189.63.218.250,100,53,True,2024-06-24 13:33:56,R_7bN1iibZTsf5UyZ,,,,,-21.1746,-47.7996,anonymous,EN,Sim,Uma  vez por ano,Loja Física,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714a9952acc47116_0adc1c5cbd5af884_1fb25cca68107359_5134ccdd3f4af58bc3d213a866c8c9fb,53,3,1
2024-06-24 13:37:53,2024-06-24 13:38:30,IP Address,179.98.193.102,100,37,True,2024-06-24 13:38:31,R_6lYaYuQOpuXnmDH,,,,,-23.5335,-46.6359,anonymous,EN,Sim,Somente se os atuais não forem mais utilizáveis,Loja Física,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07a98159cb73a046_0adc1c5cbd5af884_ff3b3757c0806b78_383577146da0b4a2a37e00e4383c163b,49,3,3
2024-06-24 13:39:34,2024-06-24 13:40:44,IP Address,201.17.211.159,100,69,True,2024-06-24 13:40:44,R_1niYI57qJV1mMX7,,,,,-19.9221,-43.9347,anonymous,EN,Sim,Uma  vez por ano,Loja Física,"Arezzo,Schutz,Luiza Barcellos,Alexandre Birman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c70b014-2dca-499c-b73c-02cbc65329a2_0adc1c5cbd5af884,60,3,2
2024-06-24 13:44:45,2024-06-24 13:45:40,IP Address,177.235.45.227,100,54,True,2024-06-24 13:45:40,R_1CB6q7UlkqJH3rM,,,,,-15.7783,-47.9319,anonymous,EN,Sim,A cada 6 meses,Loja Física,"Arezzo,Schutz,Luiza Barcellos,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8e93f4f-f468-4e3f-9d3c-c3d4b9a22d1f_0adc1c5cbd5af884,64,5,2
2024-06-24 13:44:49,2024-06-24 13:45:58,IP Address,186.220.38.175,100,68,True,2024-06-24 13:45:58,R_1PXFekchuutunq8,,,,,-23.5335,-46.6359,anonymous,EN,Sim,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4d2f334-592a-42b8-912f-04a4cdc4f014_0adc1c5cbd5af884,36,3,1
2024-06-24 13:45:38,2024-06-24 13:45:59,IP Address,200.207.104.155,100,21,True,2024-06-24 13:45:59,R_3ZHYECt8l7Qp7S2,,,,,-23.5335,-46.6359,anonymous,EN,Sim,"Nunca, eu não compro sapatos",Loja Física,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358386c-4a62-464f-950e-95d03297ecbc_0adc1c5cbd5af884,67,3,4
2024-06-24 13:45:51,2024-06-24 13:46:28,IP Address,179.42.119.174,100,37,True,2024-06-24 13:46:29,R_3v0Q8eS3PoQy9ZT,,,,,-5.7964,-35.2031,anonymous,EN,Sim,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Luiza Barcellos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39ca1b49-692d-4a5e-a7d0-bce713e1f490_0adc1c5cbd5af884,35,3,1
2024-06-24 13:45:53,2024-06-24 13:46:38,IP Address,177.79.81.6,100,44,True,2024-06-24 13:46:38,R_5v6Q5gLzv3xIGpL,,,,,-22.895,-47.0439,anonymous,EN,Sim,Uma  vez por ano,Online,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79c1f5d8-2cee-40d0-9313-123e0c1953d0_0adc1c5cbd5af884,40,3,3
2024-06-24 13:46:08,2024-06-24 13:46:48,IP Address,189.9.52.34,100,39,True,2024-06-24 13:46:48,R_1LNlnRGwUK8CAl6,,,,,-15.7792,-47.9341,anonymous,EN,Sim," A cada dois anos",Ambos na mesma proporção,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34721c61-0bf3-435a-890c-a765e95551d0_0adc1c5cbd5af884,52,5,3
2024-06-24 13:46:59,2024-06-24 13:47:46,IP Address,187.56.196.13,100,47,True,2024-06-24 13:47:46,R_6GxmwZwFTwxlxty,,,,,-23.5335,-46.6359,anonymous,EN,Sim,A cada 6 meses,Loja Física,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf748289-cf3f-4d3a-9fab-996a9e63fe54_0adc1c5cbd5af884,56,3,2
2024-06-24 13:47:36,2024-06-24 13:47:56,IP Address,177.51.228.178,100,19,True,2024-06-24 13:47:56,R_37oVOaLRay4OoQF,,,,,-23.8535,-46.2708,anonymous,EN,Sim,A cada 6 meses,Loja Física,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fbbf7bc5-5c12-49b8-acf1-2bb0370cddc1_0adc1c5cbd5af884,42,3,2
2024-06-24 13:46:54,2024-06-24 13:48:20,IP Address,186.206.255.227,100,86,True,2024-06-24 13:48:21,R_3wM0Ff2hvYfBIm5,,,,,-19.9221,-43.9347,anonymous,EN,Sim,Somente se os atuais não forem mais utilizáveis,Loja Física,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eef31e3f-60c6-428f-99e9-c7280826b9a2_0adc1c5cbd5af884,43,3,3
2024-06-24 13:46:18,2024-06-24 13:48:44,IP Address,187.56.156.213,100,146,True,2024-06-24 13:48:45,R_3C0vcDdwjwCNNlv,,,,,-21.1746,-47.7996,anonymous,EN,Sim,Uma  vez por ano,Loja Física,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2892742b-de71-466e-873a-5d82fea07e66_0adc1c5cbd5af884,71,3,3
2024-06-24 13:48:28,2024-06-24 13:48:45,IP Address,201.54.208.51,100,17,True,2024-06-24 13:48:46,R_7Cs9JhStAtePtVZ,,,,,-19.9029,-43.9572,anonymous,EN,Sim,Uma  vez por ano,Online,"Arezzo,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbbf2ab9-f992-4444-b0fc-f5b1bff6bfc1_0adc1c5cbd5af884,44,3,3
2024-06-24 13:49:55,2024-06-24 13:50:22,IP Address,187.69.67.10,100,26,True,2024-06-24 13:50:23,R_7VfP3MqUISrztoM,,,,,-22.9072,-43.1883,anonymous,EN,Sim,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88f0f82e-9a84-44e2-8d84-bfeaca851c34_0adc1c5cbd5af884,20,3,3
2024-06-24 13:50:10,2024-06-24 13:50:39,IP Address,189.46.161.137,100,28,True,2024-06-24 13:50:40,R_1nnwN8QWFYJVRcd,,,,,-23.8535,-46.2708,anonymous,EN,Sim,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750c9f33-2d3e-4706-8f31-2c92ea9c06e3_0adc1c5cbd5af884,30,3,1
2024-06-24 13:50:43,2024-06-24 13:51:05,IP Address,201.91.221.98,100,22,True,2024-06-24 13:51:05,R_3h6p8c2x8FTd93v,,,,,-23.6283,-46.6409,anonymous,EN,Sim,A cada 6 meses,Online,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fbe28f95-2aff-485d-8c1c-d2d13ca2cc8a_0adc1c5cbd5af884,34,3,3
