StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consumidor,Idade,Região,Classe,Frequência,Lugar,Marcas,É consumidor,Como conheceu,Q44,Características,Falta na marca,Qualidades marcas,Classificação_1,Classificação_2,Classificação_3,Classificação_4,Classificação_5,Q42,Q34,Qualidade_NPS_GROUP,Qualidade,Diferencial,Pontos melhora,Q40,Q41,Lançamentos,Procura,Q30,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Frequencia uso,Preço,Utilização
2024-05-09 10:13:06,2024-05-09 10:16:09,IP Address,186.232.61.4,100,183,True,2024-05-09 10:16:10,R_6K3VBq8bxq2EXOq,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Não,Redes sociais,Recomendação,"Elegante,Luxuosa",Melhor relação custo-benefício,"Avaliações e opiniões positivas de outros clientes,Informações sobre a qualidade do e o conforto do sapato",5,1,4,3,2,Acessa o site da marca diretamente (qual marca?),,,,,,,,,,,,,,,,,,
2024-05-09 10:09:26,2024-05-09 10:16:38,IP Address,189.0.153.216,100,432,True,2024-05-09 10:16:39,R_1tg6oPZXffiXEWt,,,,,-12.8671,-38.4807,anonymous,EN,Sim,55 a 64 anos,Nordeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Sim,,,,,,,,,,,,Recomendação de amigos/família,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal,Atualização de modelos,Inovação,Outros",Preço,Sim,5,5,"Procura pelo produto específico na internet,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Recomendação,5,2,4,3,1,3 a 6 vezes na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-05-09 10:11:22,2024-05-09 10:16:49,IP Address,189.47.44.67,100,326,True,2024-05-09 10:16:49,R_2HpfPUDjT1EHzBi,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Sim,,,,,,,,,,,,Recomendação de amigos/família,Detractor,1,"Design,Atualização de modelos","Qualidade dos produtos,Conforto",Sim,4,4,"Pede recomendações para conhecidos,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",Influenciadores,5,4,2,1,3,1 ou 2 vez(es) a cada três meses,2,Eventos sociais (festas e celebrações)
2024-05-09 10:13:28,2024-05-09 10:18:03,IP Address,104.28.63.97,100,275,True,2024-05-09 10:18:04,R_654sIJkXkEKoYgh,,,,,-23.5335,-46.6359,anonymous,EN,Sim,35 a 44 anos,Norte,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Loja Física,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Não,Redes sociais,Rede Sociais,"Elegante,Moderna,Desejável","Mais opções de estilo e design,Estratégias de marketing mais atraente,Presença mais forte nas redes sociais","Promoções/descontos,Publicidade criativa e atraente,Parceria com influenciadores e celebridades",5,4,3,2,1,Visita lojas físicas para experimentar pessoalmente,,,,,,,,,,,,,,,,,,
2024-05-09 10:18:49,2024-05-09 10:18:57,IP Address,177.115.154.4,100,8,True,2024-05-09 10:18:57,R_7tVidlfJcVLL6PT,,,,,-23.673,-46.5302,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:15:37,2024-05-09 10:20:45,IP Address,177.145.85.79,100,307,True,2024-05-09 10:20:45,R_1CT2xr3N9MIVC8F,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Sim,,,,,,,,,,,,Colaborações com outras marcas,Promoter,10,"Qualidade dos produtos,Design,Conforto","Preço,Diversificação de modelos",Sim,4,5,"Pede recomendações para conhecidos,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Recomendação,5,3,2,4,1,3 a 6 vezes na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-05-09 10:18:56,2024-05-09 10:21:38,IP Address,189.100.13.150,100,161,True,2024-05-09 10:21:38,R_1lE7KXTICTeRFMY,,,,,-23.5335,-46.6359,anonymous,EN,Sim,Menor de 18 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Não,Recomendação de amigos/família,Rede Sociais,"Elegante,Desejável,Inovadora",Promoções e descontos mais frequentes,Promoções/descontos,5,4,3,1,2,"Acessa o site da marca diretamente (qual marca?),Visita lojas físicas para experimentar pessoalmente",,,,,,,,,,,,,,,,,,
2024-05-09 10:21:36,2024-05-09 10:21:43,IP Address,177.115.154.4,100,6,True,2024-05-09 10:21:43,R_2doOkUvUPz3prBm,,,,,-23.673,-46.5302,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:22:12,2024-05-09 10:22:18,IP Address,189.96.230.132,100,5,True,2024-05-09 10:22:18,R_1KUPPGzDUY7ZMI5,,,,,-23.6283,-46.6409,anonymous,EN,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:18:26,2024-05-09 10:22:42,IP Address,177.115.154.4,100,256,True,2024-05-09 10:22:42,R_7MjLGKJOE8F1aIF,,,,,-23.673,-46.5302,anonymous,EN,Sim,Menor de 18 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:21:45,2024-05-09 10:22:59,IP Address,177.115.154.4,100,74,True,2024-05-09 10:23:00,R_2pQ08fPkSP2Nwkn,,,,,-23.673,-46.5302,anonymous,EN,Sim,Menor de 18 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Luiza Barcellos,Alexandre Birman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:22:31,2024-05-09 10:23:32,IP Address,189.96.230.132,100,61,True,2024-05-09 10:23:33,R_1JoiXrZyIyNXQvT,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:23:06,2024-05-09 10:23:42,IP Address,186.232.61.4,100,36,True,2024-05-09 10:23:43,R_5q9NfhRZoLP21vr,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Alexandre Birman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:21:32,2024-05-09 10:25:58,IP Address,191.205.217.223,100,266,True,2024-05-09 10:25:59,R_19A9X0s9u6vUyqZ,,,,,-23.6283,-46.6409,anonymous,EN,Sim,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Alexandre Birman,Outras",Não,Loja física,Rede Sociais,Luxuosa,Melhor relação custo-benefício,Avaliações e opiniões positivas de outros clientes,5,3,4,1,2,Visita lojas físicas para experimentar pessoalmente,,,,,,,,,,,,,,,,,,
2024-05-09 10:23:02,2024-05-09 10:26:47,IP Address,131.72.220.128,100,224,True,2024-05-09 10:26:47,R_20Vm1RG8QVym0Ja,,,,,-15.7792,-47.9341,anonymous,EN,Sim,35 a 44 anos,Centro-Oeste,Classe C: Renda familiar entre R$ 2.005 e R$ 8.640 por mês.,Uma  vez por ano,Loja Física,"Arezzo,Schutz,Luiza Barcellos,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:26:34,2024-05-09 10:27:35,IP Address,187.57.229.144,100,60,True,2024-05-09 10:27:35,R_2g1NMuvHYfl2xVC,,,,,-23.6283,-46.6409,anonymous,EN,Sim,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Luiza Barcellos,Alexandre Birman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:24:52,2024-05-09 10:28:34,IP Address,104.28.63.98,100,222,True,2024-05-09 10:28:35,R_2ertT8h8xQY0JW0,,,,,-23.5335,-46.6359,anonymous,EN,Sim,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:29:01,2024-05-09 10:30:22,IP Address,186.232.61.4,100,80,True,2024-05-09 10:30:23,R_2fYGxugrVJpYkUR,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Luiza Barcellos,Alexandre Birman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:29:35,2024-05-09 10:31:12,IP Address,186.232.61.4,100,97,True,2024-05-09 10:31:13,R_20hQZ2Vy7uksGqJ,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.," A cada dois anos",Loja Física,"Arezzo,Schutz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:30:03,2024-05-09 10:32:08,IP Address,189.62.148.222,100,125,True,2024-05-09 10:32:09,R_2EtOP6kOvYkOtYG,,,,,-23.5335,-46.6359,anonymous,EN,Sim,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Luiza Barcellos,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:29:12,2024-05-09 10:32:22,IP Address,191.193.78.185,100,190,True,2024-05-09 10:32:22,R_2MXNy6ynOM7ShDs,,,,,-23.6283,-46.6409,anonymous,EN,Sim,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Não,Loja física,Outros,"Elegante,Desejável,Versátil",Melhor relação custo-benefício,"Informações sobre a qualidade do e o conforto do sapato,Variedade de estilos e peças",1,3,5,4,2,Visita lojas físicas para experimentar pessoalmente,,,,,,,,,,,,,,,,,,
2024-05-09 10:29:30,2024-05-09 10:32:22,IP Address,186.232.61.4,100,172,True,2024-05-09 10:32:23,R_2LZjuzmM7dxqQxi,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Não,Redes sociais,Influenciadores,"Elegante,Moderna,Versátil","Melhor relação custo-benefício,Iniciativas de sustentabilidade mais atrativas,Promoções e descontos mais frequentes","Promoções/descontos,Informações sobre a qualidade do e o conforto do sapato,Recomendações de amigos/familiares",4,3,1,2,5,"Pede recomendações para conhecidos,Procura pelo produto específico na internet,Busca tendências de moda em redes sociais",,,,,,,,,,,,,,,,,,
2024-05-09 10:30:35,2024-05-09 10:33:42,IP Address,189.6.30.18,100,187,True,2024-05-09 10:33:42,R_2PNWk8lx35tey1e,,,,,-15.7783,-47.9319,anonymous,EN,Sim,55 a 64 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:33:33,2024-05-09 10:34:15,IP Address,177.172.64.155,100,42,True,2024-05-09 10:34:15,R_1lDq1WRxE3PEW91,,,,,-23.6283,-46.6409,anonymous,EN,Sim,45 a 54 anos,Sul,Classe B: Renda familiar entre R$ 8.641 e R$ 11.261 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:30:53,2024-05-09 10:34:49,IP Address,186.232.61.4,100,236,True,2024-05-09 10:34:50,R_1i98YTpZCc860OG,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.," A cada dois anos",Loja Física,"Arezzo,Schutz,Paula Torres,Alexandre Birman,Outras",Não,Loja física,Recomendação,"Elegante,Luxuosa,Exclusiva","Mais opções de estilo e design,Estratégias de marketing mais atraente,Qualidade do produto,Presença mais forte nas redes sociais","Avaliações e opiniões positivas de outros clientes,Variedade de estilos e peças,Publicidade criativa e atraente",3,2,1,5,4,"Procura pelo produto específico na internet,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",,,,,,,,,,,,,,,,,,
2024-05-09 10:31:01,2024-05-09 10:35:05,IP Address,189.6.6.86,100,244,True,2024-05-09 10:35:06,R_1phRMpqOSzEK8U5,,,,,-15.7783,-47.9319,anonymous,EN,Sim,25 a 34 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Não,Loja física,Campanhas,"Elegante,Moderna",Mais opções de estilo e design,Informações sobre a qualidade do e o conforto do sapato,4,5,1,2,3,Procura pelo produto específico na internet,,,,,,,,,,,,,,,,,,
2024-05-09 10:33:42,2024-05-09 10:35:17,IP Address,191.23.121.115,100,94,True,2024-05-09 10:35:17,R_5lsFR1i87PLtUnr,,,,,-23.6283,-46.6409,anonymous,EN,Sim,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Loja Física,"Arezzo,Schutz,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:33:57,2024-05-09 10:35:56,IP Address,191.23.71.246,100,118,True,2024-05-09 10:35:56,R_1k0iCDC9m1FQLgl,,,,,-23.6283,-46.6409,anonymous,EN,Sim,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Ambos na mesma proporção,"Arezzo,Schutz,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:35:08,2024-05-09 10:36:07,IP Address,187.21.174.100,100,59,True,2024-05-09 10:36:07,R_60VrzpVmTTUjZUS,,,,,-24.0182,-46.3512,anonymous,EN,Sim,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Loja Física,Outras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:33:59,2024-05-09 10:37:30,IP Address,179.242.248.238,100,210,True,2024-05-09 10:37:30,R_5WJCqxvurFAskhs,,,,,-23.5335,-46.6359,anonymous,EN,Sim,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Loja Física,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Sim,,,,,,,,,,,,Recomendação de amigos/família,Promoter,10,"Qualidade dos produtos,Design",Preço,Sim,5,3,Acessa o site da marca diretamente,Rede Sociais,5,3,2,4,1,1 ou 2 vez(es) por mês,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-05-09 10:38:47,2024-05-09 10:41:06,IP Address,186.220.190.14,100,138,True,2024-05-09 10:41:06,R_24GfgZzi0XRRr93,,,,,-23.5335,-46.6359,anonymous,EN,Sim,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Outras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09 10:37:31,2024-05-09 10:41:12,IP Address,186.232.61.4,100,220,True,2024-05-09 10:41:12,R_8tDvi6X8Nh3SY4P,,,,,-23.6283,-46.6409,anonymous,EN,Sim,18 a 24 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Não,Loja física,Campanhas,"Elegante,Desejável,Luxuosa","Melhor relação custo-benefício,Qualidade do produto","Promoções/descontos,Avaliações e opiniões positivas de outros clientes,Informações sobre a qualidade do e o conforto do sapato",3,4,2,1,5,"Procura pelo produto específico na internet,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",,,,,,,,,,,,,,,,,,
2024-05-09 10:42:02,2024-05-09 10:43:22,IP Address,189.98.245.29,100,80,True,2024-05-09 10:43:22,R_3wiSIBbGl3BKA4x,,,,,-23.6283,-46.6409,anonymous,EN,Sim,Menor de 18 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
