StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Idade,Região,Classe,Frequência,Lugar,Marcas,Q34,Qualidade_NPS_GROUP,Qualidade,Diferencial,Pontos melhora,Q53,Q54,Lançamentos,Procura,Q30,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Frequencia uso,Preço,Utilização
2024-06-11 19:09:33,2024-06-11 19:15:03,IP Address,179.241.18.123,100,330,True,2024-06-11 19:15:04,R_1FyTQqgK3ODaC5N,,,,,-22.9035,-47.0565,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Loja física,Promoter,10,"Qualidade dos produtos,Design,Conforto,Atualização de modelos",Preço,Sim,5,5,Acessa o site da marca diretamente,Campanhas,5,4,3,1,2,1 ou 2 vez(es) na semana,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-11 19:24:51,2024-06-11 19:26:02,IP Address,177.50.12.71,100,70,True,2024-06-11 19:26:02,R_3r3yATUaKU8sDXB,,,,,-23.6283,-46.6409,anonymous,EN,25 a 34 anos,Norte,Classe C: Renda familiar entre R$ 2.005 e R$ 8.640 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,
2024-06-11 19:26:44,2024-06-11 19:31:59,IP Address,172.225.82.143,100,314,True,2024-06-11 19:32:00,R_5m3NlC92wvBEwhz,,,,,-23.5335,-46.6359,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Design,Conforto,Atualização de modelos,Inovação","Qualidade dos produtos,Atualização de modelos,Preço",Sim,5,5,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Rede Sociais,4,2,3,5,1,3 a 6 vezes na semana,5,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 19:38:21,2024-06-11 19:50:30,IP Address,104.28.63.97,100,728,True,2024-06-11 19:50:31,R_6YJHEj9VZAQyq1K,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe C: Renda familiar entre R$ 2.005 e R$ 8.640 por mês.,Uma  vez por ano,Lojas físicas,"Arezzo,Paula Torres,Outras",Redes sociais,Passive,7,"Qualidade dos produtos,Design,Atualização de modelos,Inovação",Conforto,Sim,4,3,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Rede Sociais,5,4,3,2,1,1 ou 2 vez(es) por mês,3,"Ocasiões formais (como casamentos, formaturas ou eventos corporativos)"
2024-06-11 19:45:44,2024-06-11 19:56:03,IP Address,191.195.106.111,100,619,True,2024-06-11 19:56:04,R_5U5vTQYsfcIGJfl,,,,,-12.8671,-38.4807,anonymous,EN,55 a 64 anos,Nordeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Atualização de modelos,Inovação",Preço,Sim,4,3,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais",Rede Sociais,5,4,1,3,2,3 a 6 vezes na semana,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-11 19:54:20,2024-06-11 20:02:44,IP Address,189.96.226.109,100,503,True,2024-06-11 20:02:44,R_7QLFnmdavgaloiq,,,,,-23.6283,-46.6409,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Outras",Loja física,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal,Atualização de modelos,Inovação,Sustentabilidade","Atualização de modelos,Preço,Diversificação de modelos",Sim,4,5,Visita lojas físicas para experimentar pessoalmente,Recomendação,5,3,4,1,2,1 ou 2 vez(es) na semana,5,Eventos sociais (festas e celebrações)
2024-06-11 20:14:03,2024-06-11 20:17:26,IP Address,189.123.99.252,100,203,True,2024-06-11 20:17:27,R_7js7pImCy3HA1mz,,,,,-21.1746,-47.7996,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,10,"Qualidade dos produtos,Conforto",Preço,Sim,4,4,Acessa o site da marca diretamente,Rede Sociais,5,3,2,1,4,1 ou 2 vez(es) na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 21:40:12,2024-06-11 21:40:59,IP Address,191.181.58.117,100,46,True,2024-06-11 21:41:00,R_7dVQuNjXpW2otY5,,,,,-23.5335,-46.6359,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Somente se os atuais não forem mais utilizáveis,,,,,,,,,,,,,,,,,,,,
2024-06-11 22:09:51,2024-06-11 22:20:20,IP Address,179.209.45.50,100,629,True,2024-06-11 22:20:21,R_1E5AbNO1GFthyUJ,,,,,-23.5335,-46.6359,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal",Preço,Sim,4,4,"Acessa o site da marca diretamente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Recomendação,4,2,3,5,1,3 a 6 vezes na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 22:51:20,2024-06-11 22:56:03,IP Address,191.177.187.4,100,283,True,2024-06-11 22:56:04,R_7bVORa1mrxHzVLo,,,,,-25.4202,-49.2762,anonymous,EN,55 a 64 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Conforto,Trabalho artesanal,Sustentabilidade",Preço,Sim,3,3,Procura pelo produto específico na internet,Outros,5,4,3,2,1,1 ou 2 vez(es) por mês,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-11 22:32:40,2024-06-11 23:37:10,IP Address,177.138.169.169,100,3869,True,2024-06-11 23:37:11,R_5rvMz2sBWlE4dUd,,,,,-20.7701,-49.3577,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Passive,7,"Qualidade dos produtos,Design,Trabalho artesanal,Atualização de modelos","Conforto,Preço",Sim,5,3,Acessa o site da marca diretamente,Rede Sociais,5,4,3,2,1,1 ou 2 vez(es) por mês,3,Eventos sociais (festas e celebrações)
2024-06-11 23:53:40,2024-06-11 23:59:35,IP Address,201.47.18.70,100,355,True,2024-06-11 23:59:36,R_6CpfWr5vj08kez7,,,,,-23.6283,-46.6409,anonymous,EN,55 a 64 anos,Sudeste,Classe B: Renda familiar entre R$ 8.641 e R$ 11.261 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Design,Conforto,Inovação","Preço,Diversificação de modelos",Sim,4,4,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Campanhas,5,4,2,3,1,1 ou 2 vez(es) na semana,5,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 08:37:54,2024-06-12 08:42:02,IP Address,177.92.54.88,100,248,True,2024-06-12 08:42:03,R_3g8bCsMlX4vaOON,,,,,-25.5026,-49.2908,anonymous,EN,35 a 44 anos,Sul,Classe B: Renda familiar entre R$ 8.641 e R$ 11.261 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,10,Qualidade dos produtos,Qualidade dos produtos,Sim,5,3,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Recomendação,5,4,1,2,3,1 ou 2 vez(es) na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 09:34:17,2024-06-12 09:37:18,IP Address,189.9.35.187,100,180,True,2024-06-12 09:37:18,R_38V3fUxcmE5Y5LH,,,,,-15.7792,-47.9341,anonymous,EN,45 a 54 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Passive,7,Design,Qualidade dos produtos,Sim,4,4,Acessa o site da marca diretamente,Rede Sociais,5,3,1,4,2,1 ou 2 vez(es) por mês,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 09:58:35,2024-06-12 10:02:43,IP Address,187.88.57.10,100,248,True,2024-06-12 10:02:44,R_7rGE3oC38nhkREr,,,,,-22.895,-47.0439,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,10,"Qualidade dos produtos,Trabalho artesanal","Qualidade dos produtos,Preço",Sim,4,4,"Acessa o site da marca diretamente,Busca tendências de moda em redes sociais",Rede Sociais,1,3,4,5,2,1 ou 2 vez(es) na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 10:46:27,2024-06-12 10:53:08,IP Address,177.63.203.141,100,400,True,2024-06-12 10:53:09,R_1rTVids6yg9CWvz,,,,,-23.2157,-46.8981,anonymous,EN,35 a 44 anos,Sul,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Paula Torres,Alexandre Birman",Redes sociais,Passive,7,"Design,Atualização de modelos","Qualidade dos produtos,Preço",Sim,4,4,"Procura pelo produto específico na internet,Busca tendências de moda em redes sociais",Rede Sociais,3,5,4,1,2,3 a 6 vezes na semana,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-12 13:01:58,2024-06-12 13:05:09,IP Address,191.55.70.108,100,190,True,2024-06-12 13:05:10,R_2Joamr0STdodPeF,,,,,-19.9029,-43.9572,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Passive,8,Conforto,"Qualidade dos produtos,Preço",Sim,4,1,Visita lojas físicas para experimentar pessoalmente,Recomendação,5,4,3,1,2,3 a 6 vezes na semana,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-12 15:40:00,2024-06-12 15:43:34,IP Address,187.89.32.192,100,213,True,2024-06-12 15:43:35,R_7NnGZYX0VicPfOh,,,,,-23.6283,-46.6409,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Conforto,Trabalho artesanal","Design,Atualização de modelos,Diversificação de modelos",Sim,4,5,"Procura pelo produto específico na internet,Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Campanhas,4,5,2,1,3,1 ou 2 vez(es) na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 16:49:05,2024-06-12 16:56:04,IP Address,143.255.109.34,100,419,True,2024-06-12 16:56:05,R_73Y1u9cAfQHK5RD,,,,,-15.7623,-48.2873,anonymous,EN,55 a 64 anos,Centro-Oeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Promoter,10,"Qualidade dos produtos,Conforto","Preço,Diversificação de modelos",Sim,5,5,Visita lojas físicas para experimentar pessoalmente,Recomendação,5,4,1,2,3,3 a 6 vezes na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 18:36:10,2024-06-12 18:41:55,IP Address,187.74.251.175,100,344,True,2024-06-12 18:41:56,R_52VengJBQ2KtVg6,,,,,-23.6283,-46.6409,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Ambos na mesma proporção,"Arezzo,Paula Torres,Alexandre Birman",Redes sociais,Promoter,10,"Qualidade dos produtos,Conforto","Conforto,Preço",Sim,5,4,Visita lojas físicas para experimentar pessoalmente,Rede Sociais,5,4,3,2,1,1 ou 2 vez(es) na semana,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 19:43:44,2024-06-12 19:48:14,IP Address,189.6.24.145,100,269,True,2024-06-12 19:48:14,R_7pbeBy4Xp89UFcf,,,,,-15.7783,-47.9319,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Recomendação de amigos/família,Promoter,10,"Qualidade dos produtos,Design,Conforto","Preço,Diversificação de modelos",Sim,5,5,Visita lojas físicas para experimentar pessoalmente,Campanhas,5,4,3,2,1,1 ou 2 vez(es) a cada três meses,3,"Ocasiões formais (como casamentos, formaturas ou eventos corporativos)"
2024-06-12 20:12:13,2024-06-12 20:22:53,IP Address,45.177.104.114,100,639,True,2024-06-12 20:22:53,R_6fkEGtKZ158VBmx,,,,,-16.6681,-49.2648,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,9,"Qualidade dos produtos,Design,Conforto",Atualização de modelos,Sim,4,4,Pede recomendações para conhecidos,Recomendação,5,4,3,1,2,1 ou 2 vez(es) por mês,4,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-12 20:12:56,2024-06-12 20:26:01,IP Address,201.17.81.251,100,784,True,2024-06-12 20:26:02,R_1SIAKOpWJBEIeLj,,,,,-22.9072,-43.1883,anonymous,EN,55 a 64 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,Uma  vez por ano,Ambos na mesma proporção,"Schutz,Paula Torres,Outras",Loja física,,,"Design,Trabalho artesanal","Qualidade dos produtos,Conforto,Preço",Sim,4,5,"Acessa o site da marca diretamente,Visita lojas físicas para experimentar pessoalmente",Outros,2,1,5,4,3,1 ou 2 vez(es) por mês,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-13 14:30:09,2024-06-13 14:50:28,IP Address,187.102.136.81,100,1218,True,2024-06-13 14:50:29,R_1TUjIxzCHJbvrWK,,,,,-23.6283,-46.6409,anonymous,EN,25 a 34 anos,Sudeste,Classe C: Renda familiar entre R$ 2.005 e R$ 8.640 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman,Outras",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Conforto,Trabalho artesanal",Diversificação de modelos,Sim,4,5,"Acessa o site da marca diretamente,Busca tendências de moda em redes sociais",Influenciadores,5,2,4,3,1,3 a 6 vezes na semana,3,"Uso diário (no trabalho, escola ou atividades cotidianas)"
2024-06-14 10:28:01,2024-06-14 10:31:16,IP Address,187.57.59.169,100,194,True,2024-06-14 10:31:17,R_7VHFUOzc4tS9csL,,,,,-21.5974,-48.4534,anonymous,EN,35 a 44 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Lojas físicas,"Arezzo,Schutz,Tatiana Loureiro,Paula Torres,Luiza Barcellos,Alexandre Birman",Loja física,Detractor,5,Outros,"Qualidade dos produtos,Conforto,Atualização de modelos",Não,,5,Busca tendências de moda em redes sociais,Rede Sociais,5,4,3,2,1,1 ou 2 vez(es) a cada três meses,3,"Lazer (encontros casuais, passeios, atividades de tempo livre)"
2024-06-14 12:20:58,2024-06-14 12:26:38,IP Address,201.17.208.60,100,339,True,2024-06-14 12:26:38,R_65tHPfq6CbJzNSo,,,,,-19.9221,-43.9347,anonymous,EN,45 a 54 anos,Sudeste,Classe A: Renda familiar acima de R$ 11.262 por mês.,A cada 6 meses,Online,"Arezzo,Schutz,Paula Torres,Luiza Barcellos,Alexandre Birman",Redes sociais,Promoter,10,"Qualidade dos produtos,Design,Trabalho artesanal,Inovação",Outros,Sim,5,5,"Acessa o site da marca diretamente,Busca tendências de moda em redes sociais,Assiste vídeos de reviews",Campanhas,3,4,1,5,2,1 ou 2 vez(es) a cada três meses,4,"Ocasiões formais (como casamentos, formaturas ou eventos corporativos)"
